*OBS	LFP
1	0
2	1
3	0
4	0
5	0
6	1
7	0
8	1
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	0
20	1
21	0
22	1
23	0
24	0
25	1
26	1
27	0
28	0
29	1
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	1
40	0
41	1
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	1
51	0
52	1
53	1
54	1
55	1
56	1
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	1
65	0
66	1
67	1
68	0
69	1
70	0
71	0
72	1
73	0
74	0
75	0
76	1
77	0
78	1
79	1
80	1
81	0
82	1
83	0
84	0
85	1
86	0
87	0
88	0
89	0
90	1
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1
101	1
102	1
103	1
104	1
105	1
106	0
107	0
108	1
109	0
110	0
111	0
112	1
113	1
114	1
115	1
116	0
117	0
118	1
119	1
120	0
121	1
122	0
123	0
124	0
125	0
126	1
127	0
128	1
129	0
130	1
131	0
132	1
133	1
134	1
135	0
136	1
137	0
138	1
139	0
140	1
141	0
142	1
143	0
144	0
145	0
146	0
147	1
148	0
149	1
150	1
151	1
152	1
153	0
154	0
155	1
156	1
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	1
165	0
166	0
167	1
168	1
169	0
170	1
171	1
172	0
173	0
174	0
175	1
176	0
177	0
178	0
179	1
180	0
181	0
182	0
183	1
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	1
193	0
194	1
195	0
196	0
197	1
198	0
199	0
200	0
201	1
202	0
203	0
204	0
205	0
206	1
207	0
208	0
209	1
210	1
211	0
212	1
213	0
214	0
215	1
216	1
217	1
218	0
219	0
220	0
221	0
222	0
223	1
224	0
225	0
226	0
227	1
228	0
229	1
230	0
231	1
232	0
233	0
234	1
235	0
236	0
237	1
238	0
239	0
240	0
241	1
242	0
243	0
244	0
245	0
246	1
247	0
248	1
249	0
250	1
251	0
252	0
253	0
254	1
255	0
256	1
257	0
258	1
259	1
260	0
261	1
262	1
263	0
264	0
265	1
266	0
267	1
268	0
269	0
270	1
271	0
272	1
273	1
274	1
275	1
276	0
277	0
278	0
279	0
280	0
281	1
282	0
283	0
284	1
285	1
286	0
287	0
288	1
289	0
290	1
291	0
292	0
293	0
294	0
295	0
296	1
297	0
298	1
299	1
300	1
301	1
302	1
303	0
304	0
305	1
306	0
307	1
308	1
309	1
310	0
311	1
312	0
313	0
314	1
315	0
316	1
317	1
318	0
319	1
320	1
321	0
322	0
323	0
324	0
325	1
326	0
327	1
328	0
329	1
330	0
331	1
332	0
333	0
334	0
335	0
336	0
337	0
338	1
339	1
340	1
341	1
342	0
343	0
344	0
345	0
346	0
347	0
348	1
349	0
350	1
351	1
352	0
353	1
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	1
365	1
366	0
367	1
368	0
369	1
370	1
371	0
372	1
373	0
374	0
375	1
376	1
377	1
378	0
379	1
380	1
381	1
382	0
383	0
384	1
385	0
386	0
387	0
388	1
389	0
390	1
391	0
392	0
393	0
394	1
395	1
396	1
397	1
398	1
399	0
400	1
401	0
402	0
403	1
404	1
405	1
406	1
407	1
408	0
409	1
410	1
411	1
412	1
413	1
414	0
415	0
416	1
417	0
418	0
